stationName,stationLngGcj02,stationLatGcj02,fastCnt,slowCnt,freeCnt,fastFreeCnt,electricityFeeBigDecimal
京昆高速涞水服务区充电站（北京方向）,115.672091,39.401651,4,0,4,4,1.18
北京市房山区张坊镇公共充电站,115.719141,39.575589,4,0,2,2,1.45
北京市房山区中华石雕艺术园公共充电站,115.821291,39.550965,8,0,5,5,1.45
北京市房山区云居滑雪场充电站,115.770976,39.599067,4,0,0,0,1.45
京港澳高速定兴服务区充电站（北京方向）,115.824794,39.215009,4,0,0,0,1.18
北京市房山区云居寺公共充电站,115.777784,39.608366,5,0,3,3,1.45
北京市房山区中山寺遗址充电站,115.844593,39.594587,4,0,3,3,1.45
北京市房山区首都西南旅游集散中心公共充电站,115.880633,39.584258,13,0,13,13,1.45
北京市房山区第四国土所公共充电站,115.900449,39.581073,8,0,8,8,1.45
京昆高速定兴服务区充电站（北京方向）,115.567792,39.160246,4,0,3,3,1.18
京港澳高速涿州服务区充电站（北京方向）,116.039043,39.462821,4,0,3,3,1.18
京港澳高速河北主线B充电站（北京方向）,116.042798,39.549632,8,0,7,7,0.88
北京市房山区韩村河旅游景村充电站,115.962062,39.599202,5,0,3,3,1.45
荣景公寓,116.012915,39.583854,0,4,4,0,2.26
燕房电力.韩村河神达木业充电站,115.968394,39.601944,12,0,9,9,1.04
北京市房山区琉璃河充电站,116.042678,39.592539,4,0,4,4,1.27
鑫秀家园,116.033541,39.600479,0,12,12,0,1.96
【内部专用】星星充电-房山-中粮集团二期充电站,116.074679,39.594874,0,21,18,0,1.44
【内部专用】星星充电-房山-中粮集团一期充电站,116.073365,39.595637,4,0,4,4,1.44
北京市房山区南召供电所公共充电站,116.122405,39.605444,2,0,1,1,1.45
北京市大兴区求贤检查站公共充电站,116.295221,39.503482,4,0,3,3,1.45
新源恒远个人站008-空港新苑10号院充电站,116.300493,39.516422,0,1,0,0,0.98
新源恒远个人站014-空港新苑2号院充电站,116.304904,39.511913,0,1,1,0,0.98
新源恒远个人站016-空港新苑6号院充电站,116.304902,39.514055,0,1,1,0,0.98
新源恒远个人站022-空港新苑12号院充电站,116.307802,39.518461,0,1,1,0,0.98
榆垡3号充电站,116.344467,39.47034,6,0,3,3,1.94
新源恒远个人站010-空港雅苑2号院充电站,116.308342,39.525411,0,1,1,0,0.98
新源恒远个人站020-空港茗苑2号院充电站,116.307972,39.526968,0,1,0,0,0.98
新源恒远个人站028-空港茗苑2号院3号充电站,116.308042,39.526947,0,1,0,0,0.98
新源恒远个人站021-空港茗苑2号院2号充电站,116.30806,39.526977,0,1,0,0,0.98
北京市大兴区新机场建设指挥部公共充电站,116.326412,39.523595,4,0,1,1,1.45
新源恒远个人站019-空港富苑1号院2号充电站,116.323879,39.525153,0,1,0,0,0.98
大兴机场玫瑰园超充站,116.412036,39.525793,18,0,0,0,1.31
北京大兴玫瑰园充电站,116.411783,39.525792,12,0,3,3,1.30
北京市大兴区大兴国际机场1号充电站,116.420233,39.529545,68,47,66,37,1.45
祁各庄公交站充电站,116.417645,39.540377,4,0,3,3,1.48
星星充电-智晟大兴机场礼贤服务区超充站,116.408366,39.54201,12,0,4,4,1.39
礼贤政府停车场充电站,116.418198,39.542971,14,2,3,3,1.28
北京市大兴区临空经济区自贸区公共充电站,116.430574,39.543655,4,0,4,4,1.45
北京市大兴区临空经济区自贸区公共充电站（SDK）,116.428295,39.543651,0,1,1,0,1.45
北京市大兴区临空经济区自贸区充电站（SDK）,116.42829,39.54365,0,14,14,0,1.45
京台高速万庄服务区充电站（北京方向）,116.4987,39.5363,8,0,5,5,1.44
京台高速别古庄服务区充电站（北京方向）,116.6871,39.30365,4,0,0,0,1.44
新源恒远个人站026-礼贤孙营村充电站,116.494678,39.571064,0,2,2,0,0.98
特来电廊坊开发区北京荟充电站,116.762877,39.58854,6,0,5,5,1.23
北京市大兴区进伟生态农业科技发展有限公司公共充电站,116.631346,39.620177,8,0,7,7,1.45
绿思维葡萄合作社,116.636083,39.621578,7,3,0,0,1.70
京沪高速泗村店服务区（北京方向）有序充电站,116.93104,39.448967,9,0,9,9,1.66
【内部专用】星星充电-通州-联东U谷永乐产业园三期生活区,116.787502,39.612025,4,2,2,1,1.38
北京市大兴区长子营镇再城营一村城市公共充电站,116.621224,39.628977,2,4,6,2,1.45
雪岭蔬菜充电站,116.625541687,39.631816864,2,0,2,2,1.09
京沪高速王庆坨服务区充电站（北京方向）,116.923363,39.216454,6,0,5,5,1.66
馨桐雅苑,116.836196,39.637974,0,6,5,0,1.43
京津高速永乐店服务区公共充电站(天津方向),116.81122,39.642675,8,0,7,7,1.45
馨桐雅苑（瑟威思停车场）,116.83552,39.638737,0,6,6,0,1.43
京津塘高速徐官屯服务区充电站（北京方向）,117.094986,39.404871,2,1,1,0,1.66
京津高速永乐店服务区公共充电站(北京方向),116.813532,39.642999,8,0,6,6,1.45
京津高速梅厂服务区充电舱（北京方向）,117.15074,39.38496,4,0,2,2,1.66
天环充电站2,117.039323,39.15698,8,0,6,6,1.18
京津高速造甲城服务区充电站（北京方向）,117.429703,39.256286,4,0,3,3,1.66
京哈高速新安镇服务区充电站（北京方向）,117.577645,39.734519,6,1,6,5,1.66
京哈高速香河服务区充电站（北京方向）,117.008934,39.797025,4,0,3,3,1.44
河北省唐山市京哈高速玉田服务区（北京方向）,117.793268,39.763474,4,0,2,2,1.51
京哈高速玉田服务区充电站（北京方向）,117.793248,39.763748,4,0,4,4,1.51
北京市房山区龙门口公共充电站,115.901111,39.612115,8,0,7,7,1.45
新源恒远个人站013-空港荣苑4号院充电站,116.320147,39.52883,0,1,1,0,0.98
北京市大兴区大兴国际机场1号充电站,116.420233,39.529545,68,47,65,36,1.45
大兴机场高速礼贤服务区充电站（出京方向）,116.408314,39.543009,24,0,17,17,1.45
北京延锋北汽汽车内饰件有限公司,116.666874,39.643224,0,12,7,0,1.11
北京市房山区万亩梨园园中园公共充电站,116.155995,39.605864,8,0,8,8,1.45
北京大兴玫瑰园充电站,116.411783,39.525792,12,0,4,4,1.30
北京市房山区天开寺院外公共充电站,115.902067,39.613897,8,0,8,8,1.45
礼贤政府停车场充电站,116.418198,39.542971,14,2,4,4,1.28
北京市房山区小陶村公共充电站,116.170003,39.604724,16,0,15,15,1.45
北京市通州区永乐店站,116.780159,39.672446,3,0,0,0,0.76
北京市通州区永乐店小务村委会公共充电站,116.829309,39.676489,4,0,3,3,1.45
京港澳高速涿州服务区充电站（北京方向）,116.039043,39.462821,4,0,3,3,1.49
京港澳高速河北主线B充电站（北京方向）,116.042798,39.549632,8,0,7,7,1.19
北京市房山区琉璃河充电站,116.042678,39.592539,4,0,4,4,1.42
榆垡3号充电站,116.344467,39.47034,6,0,3,3,1.63
星星充电-智晟大兴机场礼贤服务区超充站,116.408366,39.54201,12,0,3,3,1.39
绿思维葡萄合作社,116.636083,39.621578,7,3,0,0,1.40
京昆高速涞水服务区充电站（北京方向）,115.672091,39.401651,4,0,4,4,1.49
大兴机场玫瑰园超充站,116.412036,39.525793,18,0,1,1,1.31
星星充电-智晟大兴机场礼贤服务区超充站,116.408366,39.54201,12,0,2,2,1.39
北京市大兴区长子营镇孙庄村委会公共充电站,116.58698,39.641095,8,0,8,8,1.45
北京市大兴区绿康源医院充电站,116.660203,39.649483,8,8,8,4,1.40
北京市房山区韩村河附属门诊楼充电站,115.914842,39.622877,8,0,7,7,1.45
北京市大兴区临空经济区自贸区公共充电站,116.430574,39.543655,4,0,3,3,1.45
北京市大兴区朱庄公共充电站,116.584331,39.641039,8,0,8,8,1.45
北京新能源汽车营销有限公司采育充电站,116.65889,39.650211,6,56,0,0,0.00
北京通州区易货嘀充电站,116.769905,39.681099,4,0,3,3,1.12
北京市大兴区安定镇文化活动中心公共充电站,116.502207,39.618021,16,0,12,12,1.45
采育趣玩乐园充电站,116.637226,39.648677,16,5,4,4,0.89
特来电北汽采育国际会议中心充电站,116.665808,39.654267,2,8,0,0,2.00
京港澳高速窦店服务区公共充电站(港澳方向),116.079705,39.629651,4,0,3,3,1.45
北京市房山区窑上供电所公共充电站,116.198142,39.61443,2,0,0,0,1.45
北京市房山区龙海花园公共充电站,116.151569,39.622433,8,0,3,3,1.45
北京市大兴区航天科普教育基地公共充电站,116.250085,39.592399,8,0,6,6,1.45
暂停对外 大礼路康复中心院区,116.347188,39.550416,1,7,6,1,1.03
京昆高速韩村河服务区公共充电站(北京方向),115.943304,39.623341,8,0,7,7,1.45
大兴机场高速礼贤服务区充电站（出京方向）,116.408314,39.543009,24,0,18,18,1.45
京津高速永乐店服务区公共充电站(北京方向),116.813532,39.642999,8,0,7,7,1.45
北京市房山区襄驸马庄村充电站,115.967604,39.626942,4,0,3,3,1.45
京港澳高速窦店服务区公共充电站(北京方向),116.081711,39.629647,4,0,3,3,1.45
北京市大兴区小黄垡村公共充电站,116.314761,39.554772,4,0,4,4,1.45
大兴机场高速礼贤服务区充电站（出京方向）,116.408314,39.543009,24,0,19,19,1.45
龙兴家园,116.495457,39.624582,0,12,12,0,1.96
京昆高速韩村河服务区公共充电站(昆明方向),115.942565,39.62563,8,0,8,8,1.45
北京市房山区窦店汽车城充电站,116.071948,39.638969,8,0,8,8,1.45
礼贤政府停车场充电站,116.418198,39.542971,14,2,2,2,1.28
安定充电站,116.487166,39.635756,14,0,11,11,1.45
振南兴业（北京）汽车充电站,116.486186,39.636431,14,0,13,13,1.26
京秦高速白涧服务区充电站（北京方向）,117.227061,40.018179,8,0,8,8,1.66
北京市房山区黄山店村公共充电站,115.881867,39.66388,8,0,8,8,1.45
北京市大兴区呀路古热带植物园公共充电站,116.59625,39.657448,8,0,8,8,1.45
育星苑,116.634194,39.655409,0,12,8,0,1.63
【内部专用】星星充电-通州-联东U谷永乐产业园三期生活区,116.787502,39.612025,4,2,3,1,1.38
北京市通州区永乐店供电所公共充电站,116.728313,39.683514,2,0,2,2,1.45
北京市通州区西集大灰店村公共充电站,116.908926,39.808318,8,0,8,8,1.45
河北省唐山市京哈高速玉田服务区（北京方向）,117.793268,39.763474,4,0,3,3,1.51
北京市房山区霞云岭金水湖景区公共充电站,115.746611,39.738502,8,0,7,7,1.45
北京房山窦店村东北重汽车充电站,116.072526,39.639569,12,0,6,6,0.99
北京市房山区长安汽车北京公司西侧充电站,116.101735,39.647588,10,0,6,6,1.45
北京市大兴区龙熙顺景公共充电站,116.302878,39.623734,16,0,10,10,1.45
北京市房山区智怡嘉园小区充电站,116.115677,39.655878,8,0,5,5,1.45
北京市大兴区庞各庄供电所公共充电站,116.3082,39.620447,8,0,6,6,1.45
北京市大兴区富力丹麦小镇公共充电站,116.309659,39.62609,23,0,20,20,1.45
北京大兴富力非常HAOS充电站,116.315542,39.630937,12,0,8,8,1.07
北京大兴富力非常HAOS二期充电站,116.316533,39.631199,12,0,6,6,1.06
北京市大兴区御园小区公共充电站,116.320987,39.629885,5,0,5,5,1.45
北京市大兴区采育文体中心充电站,116.630356,39.65719,8,0,6,6,1.45
育新花园南里(采南路),116.638365,39.655363,0,6,6,0,1.67
北京大兴采育奥宇充电站,116.641605,39.658324,24,0,14,14,0.89
育新花园西里(东南门),116.631705,39.657464,0,6,6,0,1.67
育新花园中里东车库,116.638077,39.659494,0,12,8,0,1.67
育新花园西里6号楼西,116.63161,39.658852,0,12,12,0,1.67
星星充电-大兴-蝴蝶来野充电站,116.681567,39.665552,1,3,0,0,1.45
北京市通州区永乐广场公共充电站,116.795358,39.707052,12,0,10,10,1.45
北京市房山区坡峰岭景区公共充电站,115.848836,39.695547,8,0,8,8,1.45
